IsNew,Concept Type,Source,Class,Concept,Positive,Negative
No,Object,Search,waffle_iron,Cast iron,"A realistic photo of a Cast iron shown clearly in action and in their natural setting. The image should focus on the object's shape, material, and details, captured with natural lighting and minimal background distractions. Photographed from different angles or in natural settings, but always with the object clearly visible and realistically rendered.","blurry, distorted, surreal, cartoonish, abstract, low-resolution, cropped subject, incorrect anatomy, extra limbs, duplicated objects, messy background, text overlay, watermark, frame, border, deformed details, unnatural lighting, overexposed, underexposed, stylized, painting, 3D render, CGI, AI art artifacts, monochrome, grayscale, extreme angles, irrelevant objects, empty scene, chaotic composition, motion blur, unusual colors"
No,Object,Search,tench,Fin,"A realistic photo of a Fin shown clearly in action and in their natural setting. The image should focus on the object's shape, material, and details, captured with natural lighting and minimal background distractions. Photographed from different angles or in natural settings, but always with the object clearly visible and realistically rendered.","blurry, distorted, surreal, cartoonish, abstract, low-resolution, cropped subject, incorrect anatomy, extra limbs, duplicated objects, messy background, text overlay, watermark, frame, border, deformed details, unnatural lighting, overexposed, underexposed, stylized, painting, 3D render, CGI, AI art artifacts, monochrome, grayscale, extreme angles, irrelevant objects, empty scene, chaotic composition, motion blur, unusual colors"
No,Object,Search,beer_glass,Glass,"A realistic photo of a Glass shown clearly in action and in their natural setting. The image should focus on the object's shape, material, and details, captured with natural lighting and minimal background distractions. Photographed from different angles or in natural settings, but always with the object clearly visible and realistically rendered.","blurry, distorted, surreal, cartoonish, abstract, low-resolution, cropped subject, incorrect anatomy, extra limbs, duplicated objects, messy background, text overlay, watermark, frame, border, deformed details, unnatural lighting, overexposed, underexposed, stylized, painting, 3D render, CGI, AI art artifacts, monochrome, grayscale, extreme angles, irrelevant objects, empty scene, chaotic composition, motion blur, unusual colors"
No,Object,Search,golf_ball,Grass,"A realistic photo of a Grass shown clearly in action and in their natural setting. The image should focus on the object's shape, material, and details, captured with natural lighting and minimal background distractions. Photographed from different angles or in natural settings, but always with the object clearly visible and realistically rendered.","blurry, distorted, surreal, cartoonish, abstract, low-resolution, cropped subject, incorrect anatomy, extra limbs, duplicated objects, messy background, text overlay, watermark, frame, border, deformed details, unnatural lighting, overexposed, underexposed, stylized, painting, 3D render, CGI, AI art artifacts, monochrome, grayscale, extreme angles, irrelevant objects, empty scene, chaotic composition, motion blur, unusual colors"
No,Object,Search,crossword_puzzle,Newspaper,"A realistic photo of a Newspaper shown clearly in action and in their natural setting. The image should focus on the object's shape, material, and details, captured with natural lighting and minimal background distractions. Photographed from different angles or in natural settings, but always with the object clearly visible and realistically rendered.","blurry, distorted, surreal, cartoonish, abstract, low-resolution, cropped subject, incorrect anatomy, extra limbs, duplicated objects, messy background, text overlay, watermark, frame, border, deformed details, unnatural lighting, overexposed, underexposed, stylized, painting, 3D render, CGI, AI art artifacts, monochrome, grayscale, extreme angles, irrelevant objects, empty scene, chaotic composition, motion blur, unusual colors"
No,Object,Search,crossword_puzzle,Pen,"A realistic photo of a Pen shown clearly in action and in their natural setting. The image should focus on the object's shape, material, and details, captured with natural lighting and minimal background distractions. Photographed from different angles or in natural settings, but always with the object clearly visible and realistically rendered.","blurry, distorted, surreal, cartoonish, abstract, low-resolution, cropped subject, incorrect anatomy, extra limbs, duplicated objects, messy background, text overlay, watermark, frame, border, deformed details, unnatural lighting, overexposed, underexposed, stylized, painting, 3D render, CGI, AI art artifacts, monochrome, grayscale, extreme angles, irrelevant objects, empty scene, chaotic composition, motion blur, unusual colors"
No,Object,Search,golf_ball,Sphere,"A realistic photo of a Sphere shown clearly in action and in their natural setting. The image should focus on the object's shape, material, and details, captured with natural lighting and minimal background distractions. Photographed from different angles or in natural settings, but always with the object clearly visible and realistically rendered.","blurry, distorted, surreal, cartoonish, abstract, low-resolution, cropped subject, incorrect anatomy, extra limbs, duplicated objects, messy background, text overlay, watermark, frame, border, deformed details, unnatural lighting, overexposed, underexposed, stylized, painting, 3D render, CGI, AI art artifacts, monochrome, grayscale, extreme angles, irrelevant objects, empty scene, chaotic composition, motion blur, unusual colors"
No,Object,Search,taxi,Taxi Sign,"A realistic photo of a Taxi Sign shown clearly in action and in their natural setting. The image should focus on the object's shape, material, and details, captured with natural lighting and minimal background distractions. Photographed from different angles or in natural settings, but always with the object clearly visible and realistically rendered.","blurry, distorted, surreal, cartoonish, abstract, low-resolution, cropped subject, incorrect anatomy, extra limbs, duplicated objects, messy background, text overlay, watermark, frame, border, deformed details, unnatural lighting, overexposed, underexposed, stylized, painting, 3D render, CGI, AI art artifacts, monochrome, grayscale, extreme angles, irrelevant objects, empty scene, chaotic composition, motion blur, unusual colors"
No,Texture,Search,dalmatian,Spotted,"A realistic close-up of the concept Spotted as the main subject, shown in high detail and natural lighting. The concept should fill the frame or dominate the image, with clear texture and form. Multiple perspectives and realistic rich colorful surfaces are encouraged.","blurry, distorted, surreal, cartoonish, abstract, low-resolution, cropped subject, incorrect anatomy, extra limbs, duplicated objects, messy background, text overlay, watermark, frame, border, deformed details, unnatural lighting, overexposed, underexposed, stylized, painting, 3D render, CGI, AI art artifacts, monochrome, grayscale, extreme angles, irrelevant objects, empty scene, chaotic composition, motion blur, unusual colors"
No,Texture,Search,leopard,Leopard print,"A realistic close-up of the concept Leopard print as the main subject, shown in high detail and natural lighting. The concept should fill the frame or dominate the image, with clear texture and form. Multiple perspectives and realistic rich colorful surfaces are encouraged.","blurry, distorted, surreal, cartoonish, abstract, low-resolution, cropped subject, incorrect anatomy, extra limbs, duplicated objects, messy background, text overlay, watermark, frame, border, deformed details, unnatural lighting, overexposed, underexposed, stylized, painting, 3D render, CGI, AI art artifacts, monochrome, grayscale, extreme angles, irrelevant objects, empty scene, chaotic composition, motion blur, unusual colors"
No,Texture,DTD,beer_glass,Bubbly,"A realistic close-up of the concept Bubbly as the main subject, shown in high detail and natural lighting. The concept should fill the frame or dominate the image, with clear texture and form. Multiple perspectives and realistic rich colorful surfaces are encouraged.","blurry, distorted, surreal, cartoonish, abstract, low-resolution, cropped subject, incorrect anatomy, extra limbs, duplicated objects, messy background, text overlay, watermark, frame, border, deformed details, unnatural lighting, overexposed, underexposed, stylized, painting, 3D render, CGI, AI art artifacts, monochrome, grayscale, extreme angles, irrelevant objects, empty scene, chaotic composition, motion blur, unusual colors"
No,Texture,DTD,crossword_puzzle,Chequered,"A realistic close-up of the concept Chequered as the main subject, shown in high detail and natural lighting. The concept should fill the frame or dominate the image, with clear texture and form. Multiple perspectives and realistic rich colorful surfaces are encouraged.","blurry, distorted, surreal, cartoonish, abstract, low-resolution, cropped subject, incorrect anatomy, extra limbs, duplicated objects, messy background, text overlay, watermark, frame, border, deformed details, unnatural lighting, overexposed, underexposed, stylized, painting, 3D render, CGI, AI art artifacts, monochrome, grayscale, extreme angles, irrelevant objects, empty scene, chaotic composition, motion blur, unusual colors"
No,Texture,DTD,stone_wall,Cracked,"A realistic close-up of the concept Cracked as the main subject, shown in high detail and natural lighting. The concept should fill the frame or dominate the image, with clear texture and form. Multiple perspectives and realistic rich colorful surfaces are encouraged.","blurry, distorted, surreal, cartoonish, abstract, low-resolution, cropped subject, incorrect anatomy, extra limbs, duplicated objects, messy background, text overlay, watermark, frame, border, deformed details, unnatural lighting, overexposed, underexposed, stylized, painting, 3D render, CGI, AI art artifacts, monochrome, grayscale, extreme angles, irrelevant objects, empty scene, chaotic composition, motion blur, unusual colors"
No,Texture,DTD,honeycomb,Crystalline,"A realistic close-up of the concept Crystalline as the main subject, shown in high detail and natural lighting. The concept should fill the frame or dominate the image, with clear texture and form. Multiple perspectives and realistic rich colorful surfaces are encouraged.","blurry, distorted, surreal, cartoonish, abstract, low-resolution, cropped subject, incorrect anatomy, extra limbs, duplicated objects, messy background, text overlay, watermark, frame, border, deformed details, unnatural lighting, overexposed, underexposed, stylized, painting, 3D render, CGI, AI art artifacts, monochrome, grayscale, extreme angles, irrelevant objects, empty scene, chaotic composition, motion blur, unusual colors"
No,Texture,DTD,dalmatian,Dotted,"A realistic close-up of the concept Dotted as the main subject, shown in high detail and natural lighting. The concept should fill the frame or dominate the image, with clear texture and form. Multiple perspectives and realistic rich colorful surfaces are encouraged.","blurry, distorted, surreal, cartoonish, abstract, low-resolution, cropped subject, incorrect anatomy, extra limbs, duplicated objects, messy background, text overlay, watermark, frame, border, deformed details, unnatural lighting, overexposed, underexposed, stylized, painting, 3D render, CGI, AI art artifacts, monochrome, grayscale, extreme angles, irrelevant objects, empty scene, chaotic composition, motion blur, unusual colors"
No,Texture,DTD,church,Frilly,"A realistic close-up of the concept Frilly as the main subject, shown in high detail and natural lighting. The concept should fill the frame or dominate the image, with clear texture and form. Multiple perspectives and realistic rich colorful surfaces are encouraged.","blurry, distorted, surreal, cartoonish, abstract, low-resolution, cropped subject, incorrect anatomy, extra limbs, duplicated objects, messy background, text overlay, watermark, frame, border, deformed details, unnatural lighting, overexposed, underexposed, stylized, painting, 3D render, CGI, AI art artifacts, monochrome, grayscale, extreme angles, irrelevant objects, empty scene, chaotic composition, motion blur, unusual colors"
No,Texture,DTD,honeycomb,Honeycombed,"A realistic close-up of the concept Honeycombed as the main subject, shown in high detail and natural lighting. The concept should fill the frame or dominate the image, with clear texture and form. Multiple perspectives and realistic rich colorful surfaces are encouraged.","blurry, distorted, surreal, cartoonish, abstract, low-resolution, cropped subject, incorrect anatomy, extra limbs, duplicated objects, messy background, text overlay, watermark, frame, border, deformed details, unnatural lighting, overexposed, underexposed, stylized, painting, 3D render, CGI, AI art artifacts, monochrome, grayscale, extreme angles, irrelevant objects, empty scene, chaotic composition, motion blur, unusual colors"
No,Texture,DTD,waffle_iron,Meshed,"A realistic close-up of the concept Meshed as the main subject, shown in high detail and natural lighting. The concept should fill the frame or dominate the image, with clear texture and form. Multiple perspectives and realistic rich colorful surfaces are encouraged.","blurry, distorted, surreal, cartoonish, abstract, low-resolution, cropped subject, incorrect anatomy, extra limbs, duplicated objects, messy background, text overlay, watermark, frame, border, deformed details, unnatural lighting, overexposed, underexposed, stylized, painting, 3D render, CGI, AI art artifacts, monochrome, grayscale, extreme angles, irrelevant objects, empty scene, chaotic composition, motion blur, unusual colors"
No,Texture,DTD,spider_web,Perforated,"A realistic close-up of the concept Perforated as the main subject, shown in high detail and natural lighting. The concept should fill the frame or dominate the image, with clear texture and form. Multiple perspectives and realistic rich colorful surfaces are encouraged.","blurry, distorted, surreal, cartoonish, abstract, low-resolution, cropped subject, incorrect anatomy, extra limbs, duplicated objects, messy background, text overlay, watermark, frame, border, deformed details, unnatural lighting, overexposed, underexposed, stylized, painting, 3D render, CGI, AI art artifacts, monochrome, grayscale, extreme angles, irrelevant objects, empty scene, chaotic composition, motion blur, unusual colors"
No,Texture,DTD,spider_web,Spiralled,"A realistic close-up of the concept Spiralled as the main subject, shown in high detail and natural lighting. The concept should fill the frame or dominate the image, with clear texture and form. Multiple perspectives and realistic rich colorful surfaces are encouraged.","blurry, distorted, surreal, cartoonish, abstract, low-resolution, cropped subject, incorrect anatomy, extra limbs, duplicated objects, messy background, text overlay, watermark, frame, border, deformed details, unnatural lighting, overexposed, underexposed, stylized, painting, 3D render, CGI, AI art artifacts, monochrome, grayscale, extreme angles, irrelevant objects, empty scene, chaotic composition, motion blur, unusual colors"
No,Texture,DTD,zebra,Striped,"A realistic close-up of the concept Striped as the main subject, shown in high detail and natural lighting. The concept should fill the frame or dominate the image, with clear texture and form. Multiple perspectives and realistic rich colorful surfaces are encouraged.","blurry, distorted, surreal, cartoonish, abstract, low-resolution, cropped subject, incorrect anatomy, extra limbs, duplicated objects, messy background, text overlay, watermark, frame, border, deformed details, unnatural lighting, overexposed, underexposed, stylized, painting, 3D render, CGI, AI art artifacts, monochrome, grayscale, extreme angles, irrelevant objects, empty scene, chaotic composition, motion blur, unusual colors"
No,Texture,DTD,waffle_iron,Waffled,"A realistic close-up of the concept Waffled as the main subject, shown in high detail and natural lighting. The concept should fill the frame or dominate the image, with clear texture and form. Multiple perspectives and realistic rich colorful surfaces are encouraged.","blurry, distorted, surreal, cartoonish, abstract, low-resolution, cropped subject, incorrect anatomy, extra limbs, duplicated objects, messy background, text overlay, watermark, frame, border, deformed details, unnatural lighting, overexposed, underexposed, stylized, painting, 3D render, CGI, AI art artifacts, monochrome, grayscale, extreme angles, irrelevant objects, empty scene, chaotic composition, motion blur, unusual colors"
No,Texture,DTD,trench_coat,Woven,"A realistic close-up of the concept Woven as the main subject, shown in high detail and natural lighting. The concept should fill the frame or dominate the image, with clear texture and form. Multiple perspectives and realistic rich colorful surfaces are encouraged.","blurry, distorted, surreal, cartoonish, abstract, low-resolution, cropped subject, incorrect anatomy, extra limbs, duplicated objects, messy background, text overlay, watermark, frame, border, deformed details, unnatural lighting, overexposed, underexposed, stylized, painting, 3D render, CGI, AI art artifacts, monochrome, grayscale, extreme angles, irrelevant objects, empty scene, chaotic composition, motion blur, unusual colors"
No,Texture,DTD,zebra,Wrinkled,"A realistic close-up of the concept Wrinkled as the main subject, shown in high detail and natural lighting. The concept should fill the frame or dominate the image, with clear texture and form. Multiple perspectives and realistic rich colorful surfaces are encouraged.","blurry, distorted, surreal, cartoonish, abstract, low-resolution, cropped subject, incorrect anatomy, extra limbs, duplicated objects, messy background, text overlay, watermark, frame, border, deformed details, unnatural lighting, overexposed, underexposed, stylized, painting, 3D render, CGI, AI art artifacts, monochrome, grayscale, extreme angles, irrelevant objects, empty scene, chaotic composition, motion blur, unusual colors"
Yes,Texture,FMD,dalmatian,Fabric,"A realistic close-up of the concept Fabric as the main subject, shown in high detail and natural lighting. The concept should fill the frame or dominate the image, with clear texture and form. Multiple perspectives and realistic rich colorful surfaces are encouraged.","blurry, distorted, surreal, cartoonish, abstract, low-resolution, cropped subject, incorrect anatomy, extra limbs, duplicated objects, messy background, text overlay, watermark, frame, border, deformed details, unnatural lighting, overexposed, underexposed, stylized, painting, 3D render, CGI, AI art artifacts, monochrome, grayscale, extreme angles, irrelevant objects, empty scene, chaotic composition, motion blur, unusual colors"
Yes,Texture,FMD,leopard,Foliage,"A realistic close-up of the concept Foliage as the main subject, shown in high detail and natural lighting. The concept should fill the frame or dominate the image, with clear texture and form. Multiple perspectives and realistic rich colorful surfaces are encouraged.","blurry, distorted, surreal, cartoonish, abstract, low-resolution, cropped subject, incorrect anatomy, extra limbs, duplicated objects, messy background, text overlay, watermark, frame, border, deformed details, unnatural lighting, overexposed, underexposed, stylized, painting, 3D render, CGI, AI art artifacts, monochrome, grayscale, extreme angles, irrelevant objects, empty scene, chaotic composition, motion blur, unusual colors"
Yes,Texture,FMD,waffle_iron,Metal,"A realistic close-up of the concept Metal as the main subject, shown in high detail and natural lighting. The concept should fill the frame or dominate the image, with clear texture and form. Multiple perspectives and realistic rich colorful surfaces are encouraged.","blurry, distorted, surreal, cartoonish, abstract, low-resolution, cropped subject, incorrect anatomy, extra limbs, duplicated objects, messy background, text overlay, watermark, frame, border, deformed details, unnatural lighting, overexposed, underexposed, stylized, painting, 3D render, CGI, AI art artifacts, monochrome, grayscale, extreme angles, irrelevant objects, empty scene, chaotic composition, motion blur, unusual colors"
Yes,Texture,FMD,crossword_puzzle,Paper,"A realistic close-up of the concept Paper as the main subject, shown in high detail and natural lighting. The concept should fill the frame or dominate the image, with clear texture and form. Multiple perspectives and realistic rich colorful surfaces are encouraged.","blurry, distorted, surreal, cartoonish, abstract, low-resolution, cropped subject, incorrect anatomy, extra limbs, duplicated objects, messy background, text overlay, watermark, frame, border, deformed details, unnatural lighting, overexposed, underexposed, stylized, painting, 3D render, CGI, AI art artifacts, monochrome, grayscale, extreme angles, irrelevant objects, empty scene, chaotic composition, motion blur, unusual colors"
Yes,Texture,FMD,stone_wall,Stone,"A realistic close-up of the concept Stone as the main subject, shown in high detail and natural lighting. The concept should fill the frame or dominate the image, with clear texture and form. Multiple perspectives and realistic rich colorful surfaces are encouraged.","blurry, distorted, surreal, cartoonish, abstract, low-resolution, cropped subject, incorrect anatomy, extra limbs, duplicated objects, messy background, text overlay, watermark, frame, border, deformed details, unnatural lighting, overexposed, underexposed, stylized, painting, 3D render, CGI, AI art artifacts, monochrome, grayscale, extreme angles, irrelevant objects, empty scene, chaotic composition, motion blur, unusual colors"
Yes,Texture,FMD,golf_ball,Plastic,"A realistic close-up of the concept Plastic as the main subject, shown in high detail and natural lighting. The concept should fill the frame or dominate the image, with clear texture and form. Multiple perspectives and realistic rich colorful surfaces are encouraged.","blurry, distorted, surreal, cartoonish, abstract, low-resolution, cropped subject, incorrect anatomy, extra limbs, duplicated objects, messy background, text overlay, watermark, frame, border, deformed details, unnatural lighting, overexposed, underexposed, stylized, painting, 3D render, CGI, AI art artifacts, monochrome, grayscale, extreme angles, irrelevant objects, empty scene, chaotic composition, motion blur, unusual colors"
Yes,Texture,FMD,beer_glass,Glass,"A realistic close-up of the concept Glass as the main subject, shown in high detail and natural lighting. The concept should fill the frame or dominate the image, with clear texture and form. Multiple perspectives and realistic rich colorful surfaces are encouraged.","blurry, distorted, surreal, cartoonish, abstract, low-resolution, cropped subject, incorrect anatomy, extra limbs, duplicated objects, messy background, text overlay, watermark, frame, border, deformed details, unnatural lighting, overexposed, underexposed, stylized, painting, 3D render, CGI, AI art artifacts, monochrome, grayscale, extreme angles, irrelevant objects, empty scene, chaotic composition, motion blur, unusual colors"
Yes,Texture,FMD,trench_coat,Leather,"A realistic close-up of the concept Leather as the main subject, shown in high detail and natural lighting. The concept should fill the frame or dominate the image, with clear texture and form. Multiple perspectives and realistic rich colorful surfaces are encouraged.","blurry, distorted, surreal, cartoonish, abstract, low-resolution, cropped subject, incorrect anatomy, extra limbs, duplicated objects, messy background, text overlay, watermark, frame, border, deformed details, unnatural lighting, overexposed, underexposed, stylized, painting, 3D render, CGI, AI art artifacts, monochrome, grayscale, extreme angles, irrelevant objects, empty scene, chaotic composition, motion blur, unusual colors"
Yes,Texture,FMD,tench,Water,"A realistic close-up of the concept Water as the main subject, shown in high detail and natural lighting. The concept should fill the frame or dominate the image, with clear texture and form. Multiple perspectives and realistic rich colorful surfaces are encouraged.","blurry, distorted, surreal, cartoonish, abstract, low-resolution, cropped subject, incorrect anatomy, extra limbs, duplicated objects, messy background, text overlay, watermark, frame, border, deformed details, unnatural lighting, overexposed, underexposed, stylized, painting, 3D render, CGI, AI art artifacts, monochrome, grayscale, extreme angles, irrelevant objects, empty scene, chaotic composition, motion blur, unusual colors"
Yes,Texture,FMD,church,Wood,"A realistic close-up of the concept Wood as the main subject, shown in high detail and natural lighting. The concept should fill the frame or dominate the image, with clear texture and form. Multiple perspectives and realistic rich colorful surfaces are encouraged.","blurry, distorted, surreal, cartoonish, abstract, low-resolution, cropped subject, incorrect anatomy, extra limbs, duplicated objects, messy background, text overlay, watermark, frame, border, deformed details, unnatural lighting, overexposed, underexposed, stylized, painting, 3D render, CGI, AI art artifacts, monochrome, grayscale, extreme angles, irrelevant objects, empty scene, chaotic composition, motion blur, unusual colors"
